soc_uk,classification,E_uk,sigma_Scotland,sigma_rUK,dsigma,contribution
231,Complemented,61.87150838771335,0.04391652638300342,0.04432742547256255,-4.1089908955913024e-4,1.978609504175603e-5
247,Complemented,70.58090081714576,0.0018982767111642,0.00125689764480275,6.4137906636145e-4,2.4975782557669013e-5
321,Complemented,63.355105224006515,0.00362306357050166,0.00437828381409266,-7.552202435909998e-4,2.5161827579459543e-5
122,Complemented,72.2216034745003,0.00873797133906452,0.00824512657556593,4.9284476349859e-4,2.7277862377510426e-5
312,Complemented,81.90837540677268,0.00206980040708789,0.001889594083114,1.8020632397389006e-4,2.743019515817745e-5
215,Complemented,75.9058741302465,0.00318367453940457,0.00286630609090436,3.173684485002102e-4,2.9258350933882584e-5
631,Complemented,57.93549635005165,3.657049979683055e-4,7.112855964881571e-4,-3.4558059851985164e-4,3.024289638483983e-5
625,Complemented,71.19505079971836,9.979645605079795e-4,2.751529559051687e-4,7.228116046028108e-4,3.258597410113353e-5
924,Complemented,53.21374321619831,0.00271685295213627,0.00296123286903034,-2.443799168940701e-4,3.292550780445355e-5
216,Complemented,79.37115913953245,0.0049962830290785,0.00462796760222693,3.6831542685156985e-4,4.671835680968998e-5
913,Unexposed,43.12289419182317,0.00515629066899859,0.0053945135247644,-2.3822285576581038e-4,5.6134670596255814e-05
522,Complemented,54.130220528925015,0.00684643573385364,0.00733250894325613,-4.860732094024902e-4,6.103429380168017e-5
812,Complemented,53.064417697241936,6.958319367384657e-4,0.00114869913291945,-4.5286719618098424e-4,6.169141722532886e-5
814,Complemented,53.38100949705592,0.00520291665184247,0.00571492755525788,-5.120109034154104e-4,6.812722980504048e-5
358,Complemented,69.70781574973753,0.00636585105526396,0.00399056077273157,0.0023752902825323894,7.175728282069221e-5
712,Complemented,61.7473197972564,0.00182375003979125,0.00343181747601076,-0.00160806743621951,7.943058611291465e-5
713,Complemented,78.76345512700568,0.00791246673919597,0.00724162318493546,6.708435542605098e-4,8.101529000758962e-5
923,Complemented,58.83157822127841,0.00656078136908116,0.00775230396389004,-0.0011915225948088805,9.359704872105538e-5
821,Complemented,59.41023930973633,0.02609154421884626,0.02740191564833105,-0.0013103714294847926,9.53503092470858e-5
313,Complemented,79.19457964407911,0.00934644977782438,0.008545748699242,8.007010785823793e-4,1.0014972064666895e-4
311,Complemented,75.02879332659971,0.00909693523107949,0.00782138143741272,0.00127555379366677,1.0640628438416811e-4
351,Complemented,74.52360243043861,0.0028467128682095,0.00139816806110497,0.0014485448071045299,1.135192222103215e-4
223,Complemented,69.99801544717984,0.02561470459911953,0.02151348868445864,0.0041012159146608905,1.357990404149633e-4
622,Unexposed,40.206448815689456,0.00604087357243037,0.00667938428212539,-6.385107096950199e-4,1.6908004244569887e-4
623,Unexposed,35.33575177340956,0.00276432157322432,0.00332785831619315,-5.6353674296883e-4,1.7667482095500201e-4
711,Substituted,70.64557642347961,0.04014188155502334,0.0349236335679929,0.005218247987030439,2.0657742935297177e-4
211,Complemented,77.44976905701706,0.01016633678939848,0.00731232037191794,0.0028540164174805406,3.071761700925932e-4
925,Complemented,56.06938004044962,0.01074157783074955,0.0139054631761533,-0.0031638853454037507,3.359238076343566e-4
721,Substituted,79.40411472218277,0.01694685948726399,0.01347851993030141,0.003468339556962581,4.410787653397672e-4
411,Substituted,79.35907908479095,0.01650606605909328,0.01255688644398835,0.003949179615104929,5.004500470027022e-4
212,Complemented,79.34516019131877,0.02015665581223772,0.0159515331488656,0.00420512266337212,5.322984920272197e-4
531,Unexposed,37.43049960403274,0.01956886882369573,0.02158449989752007,-0.0020156310738243394,5.896996000762617e-4
611,Unexposed,47.49917568339236,0.01506122234976228,0.01995789439167438,-0.0048966720419121,9.395562944135779e-4
